ID:1 | Time:2025-09-09T11:35:15.0156069 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 830ms | Status:OPEN | Resolution:
ID:2 | Time:2025-09-09T11:35:29.0975852 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:3 | Time:2025-09-09T11:35:40.0347917 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 937ms | Status:OPEN | Resolution:
ID:4 | Time:2025-09-09T11:35:54.0980745 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:5 | Time:2025-09-09T11:36:19.1060884 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:6 | Time:2025-09-09T11:37:15.4413198 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1344ms | Status:OPEN | Resolution:
ID:7 | Time:2025-09-09T11:37:20.33344 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1235ms | Status:OPEN | Resolution:
ID:8 | Time:2025-09-09T11:37:49.1044713 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:9 | Time:2025-09-09T11:38:04.0974074 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:10 | Time:2025-09-09T11:38:09.1014053 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:11 | Time:2025-09-09T11:38:20.0309584 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 930ms | Status:OPEN | Resolution:
ID:12 | Time:2025-09-09T11:38:30.3419692 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1231ms | Status:OPEN | Resolution:
ID:1 | Time:2025-09-09T11:38:53.9516011 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:13 | Time:2025-09-09T11:38:59.0975205 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:2 | Time:2025-09-09T11:39:15.1260134 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1215ms | Status:OPEN | Resolution:
ID:14 | Time:2025-09-09T11:39:20.080212 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 977ms | Status:OPEN | Resolution:
ID:3 | Time:2025-09-09T11:39:20.217393 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1307ms | Status:OPEN | Resolution:
ID:4 | Time:2025-09-09T11:39:23.9103798 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:5 | Time:2025-09-09T11:39:29.9479829 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1020ms | Status:OPEN | Resolution:
ID:15 | Time:2025-09-09T11:39:34.0976652 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:6 | Time:2025-09-09T11:39:38.9036194 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:7 | Time:2025-09-09T11:39:43.9031899 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:16 | Time:2025-09-09T11:39:45.0482848 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 951ms | Status:OPEN | Resolution:
ID:8 | Time:2025-09-09T11:39:58.916132 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:1 | Time:2025-09-09T11:45:48.9929283 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1240ms | Status:OPEN | Resolution:
ID:2 | Time:2025-09-09T11:45:57.6607414 | Severity:CRITICAL | Type:EXCEPTION | Message:java.lang.RuntimeException: Database connection failed | Status:OPEN | Resolution:
ID:3 | Time:2025-09-09T11:46:18.7760237 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1116ms | Status:OPEN | Resolution:
ID:4 | Time:2025-09-09T11:46:28.8379951 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 1176ms | Status:OPEN | Resolution:
ID:5 | Time:2025-09-09T11:46:48.5162777 | Severity:MAJOR | Type:PERFORMANCE | Message:High response time: 855ms | Status:OPEN | Resolution:
